url,page_type,primary_intent,primary_keyword,secondary_keywords,proposed_seo_title,proposed_meta_description,og_title,og_description,recommended_h1,recommended_canonical,priority,status,notes
# OG title/description are auto-derived from SEO title/description in BaseLayout (no separate OG fields in schema). "= title/desc" means no separate value needed.
# Implementation: services/blogs/industries/case-studies via Sanity seoTitle/seoDescription; home/about/hub pages via repo .astro edits.
https://kpinfo.tech/,home,brand + commercial,kp infotech,"custom software company, b2b software, erp automation",,"(KEEP) Custom Software, ERP, Automation & AI Solutions | KP Infotech",(KEEP current strong B2B description),= title,= desc,(keep) heroHeadline,self,high,keep,Already strong. Optional: change pipe to em-dash for pattern consistency.
https://kpinfo.tech/services/custom-software-development/,service,commercial,custom software development,"internal tools, dashboards, saas mvp, workflow software",Custom Business Software Development Company — KP Infotech,(KEEP current),= title,= desc,Custom Software Development,self,high,keep,No change — excellent
https://kpinfo.tech/services/business-automation/,service,commercial,business automation services,"workflow automation, process automation, integrations",Business Automation Services for Growing Companies — KP Infotech,(KEEP current),= title,= desc,Business Automation,self,high,keep,No change
https://kpinfo.tech/services/erp-software/,service,commercial,odoo erp implementation,"erp customization, odoo crm, erp migration",Odoo ERP Implementation & Customization Company — KP Infotech,(KEEP current),= title,= desc,ERP & Odoo Solutions,self,high,keep,No change — PROTECTED URL
https://kpinfo.tech/services/ai-automation-agents/,service,commercial,ai agent development,"ai automation, document processing agents, ai assistants",AI Agent Development & Automation for Business Operations — KP Infotech,(KEEP current),= title,= desc,AI Automation & Agents,self,high,keep,No change
https://kpinfo.tech/services/cloud-devops/,service,commercial,cloud devops services,"ci/cd, cloud infrastructure, devops, cloud hosting",Cloud & DevOps Services for Scalable Business Systems — KP Infotech,(KEEP current),= title,= desc,Cloud & DevOps,self,high,keep,No change
https://kpinfo.tech/services/,service-hub,commercial,b2b software services,"custom software, erp, automation, ai, cloud",B2B Software, ERP, Automation & AI Services | KP Infotech,"Explore KP Infotech's services — custom software, business automation, ERP & Odoo, AI agents, and cloud & DevOps — built for growing businesses replacing manual operations.",= title,= desc,Our Services,self,high,draft,REPO FIX — current desc lists 404'd old services (UI/UX, web dev, mobile, digital marketing)
https://kpinfo.tech/about/,about,brand,kp infotech company,"b2b operations technology partner, ahmedabad software company",About KP Infotech — B2B Operations Technology Partner,"KP Infotech is a B2B operations technology partner in Ahmedabad building custom software, ERP & Odoo, automation, AI agents, and cloud systems for growing businesses.",= title,= desc,About KP Infotech,self,high,draft,REPO FIX — remove "digital product studio" language (also update body)
https://kpinfo.tech/industries/healthcare/,industry,commercial,healthcare software solutions,"healthcare automation, clinic management software, healthcare erp",Healthcare Software & Automation Solutions | KP Infotech,"Custom software, ERP, and workflow automation for healthcare providers — connect scheduling, billing, records, and operations and cut manual admin work.",= title,= desc,Healthcare,self,high,draft,SANITY — seoTitle/seoDescription currently null
https://kpinfo.tech/industries/retail-ecommerce/,industry,commercial,retail ecommerce software,"inventory automation, ecommerce platform, retail erp",Retail & E-commerce Software Solutions | KP Infotech,"Custom commerce platforms, inventory and order automation, and ERP for retail and e-commerce businesses scaling past spreadsheets and disconnected tools.",= title,= desc,Retail & E-commerce,self,high,draft,SANITY null
https://kpinfo.tech/industries/manufacturing/,industry,commercial,manufacturing erp software,"production tracking, manufacturing automation, inventory software",Manufacturing Software & ERP Solutions | KP Infotech,"ERP, production tracking, inventory, and process automation for manufacturers — connect shop floor, purchasing, and operations in one reliable system.",= title,= desc,Manufacturing,self,high,draft,SANITY null
https://kpinfo.tech/industries/logistics/,industry,commercial,logistics software,"supply chain software, dispatch software, shipment tracking",Logistics & Supply Chain Software | KP Infotech,"Custom logistics software and automation for shipment visibility, dispatch, inventory, and operations — replace manual tracking and disconnected tools.",= title,= desc,Logistics & Supply Chain,self,high,draft,SANITY null
https://kpinfo.tech/industries/finance/,industry,commercial,fintech software development,"finance software, financial workflow automation, banking software",Finance & Fintech Software Solutions | KP Infotech,"Secure custom software, automation, and integrations for finance and fintech operations — from portals and dashboards to compliant workflow systems.",= title,= desc,Finance,self,high,draft,SANITY null
https://kpinfo.tech/industries/startups/,industry,commercial,software development for startups,"mvp development, startup software, internal tools",Software for Startups & SMEs | KP Infotech,"MVPs, internal tools, automation, and cloud setup for startups and SMEs — go from idea to launch with practical software built around how you operate.",= title,= desc,Startups & SMEs,self,high,draft,SANITY null
https://kpinfo.tech/industries/real-estate/,industry,commercial,real estate software development,"property platform, real estate crm, listing automation",Real Estate Software & Platforms | KP Infotech,"Custom property platforms, CRM, and listing/lead automation for real estate businesses — manage deals, listings, and operations in one connected system.",= title,= desc,Real Estate,self,medium,draft,SANITY null
https://kpinfo.tech/industries/education/,industry,commercial,education software development,"edtech software, learning platform, student portal",Education & EdTech Software Solutions | KP Infotech,"Custom learning platforms, student and admin portals, and automation for education and edtech — replace manual processes with connected, scalable systems.",= title,= desc,Education,self,medium,draft,SANITY null
https://kpinfo.tech/industries/,industry-hub,commercial,industries we serve,"industry software solutions",Industries We Serve — KP Infotech,"Industry-specific software, ERP, and automation from KP Infotech — healthcare, retail, manufacturing, logistics, finance, real estate, education, and startups.",= title,= desc,Industries,self,medium,draft,REPO FIX — current copy mentions "energy" (not an industry)
https://kpinfo.tech/insights/odoo-erp-complete-guide/,blog-post,informational,odoo erp guide,"odoo erp pricing, odoo features, odoo benefits",Odoo ERP Guide: Features, Benefits & Pricing | KP Infotech,"A complete guide to Odoo ERP — modules, features, benefits, and pricing — to help growing businesses decide if Odoo is the right ERP for their operations.",= title,= desc,(keep),self,high,draft,SANITY null — PROTECTED asset; internal-link to /services/erp-software/
https://kpinfo.tech/insights/cloud-deployment-models-diagram/,blog-post,informational,cloud deployment models,"public cloud diagram, private cloud, hybrid cloud",Cloud Deployment Models Explained (with Diagram) | KP Infotech,"Public, private, hybrid, and community cloud deployment models explained with a clear diagram — understand the trade-offs and pick the right model for your business.",= title,= desc,(keep),self,high,draft,SANITY null — ranks vol 880/720; link to /services/cloud-devops/
https://kpinfo.tech/insights/node-js-frameworks/,blog-post,informational,node js frameworks,"best node js frameworks, node backend",12 Best Node.js Frameworks for 2026 | KP Infotech,"A practical roundup of the best Node.js frameworks for building scalable backends and APIs in 2026 — with use cases, pros, and when to choose each.",= title,= desc,(keep),self,high,draft,SANITY null — ranks "node js framework" vol 880; link to /services/custom-software-development/
https://kpinfo.tech/insights/erp-for-retail-stores/,blog-post,informational,erp for retail stores,"retail erp india, retail erp software",ERP for Retail Stores in India: A Practical Guide | KP Infotech,"How retail businesses in India use ERP to connect inventory, billing, purchase, and accounting — benefits, features, and what to look for before implementing.",= title,= desc,(keep),self,medium,draft,SANITY null — link to /services/erp-software/ + /industries/retail-ecommerce/
https://kpinfo.tech/insights/inventory-management-best-practices/,blog-post,informational,inventory management best practices,"inventory control, stock management",9 Inventory Management Best Practices for 2026 | KP Infotech,"Nine practical inventory management best practices to cut stockouts, reduce carrying costs, and keep operations accurate as your business scales.",= title,= desc,(keep),self,medium,draft,SANITY null — link to /services/erp-software/
https://kpinfo.tech/insights/angular-vs-react/,blog-post,informational,angular vs react,"react vs angular, frontend framework",Angular vs React: Which to Choose in 2026? | KP Infotech,"Angular vs React compared for 2026 — performance, learning curve, ecosystem, and team fit — to help you choose the right framework for your next project.",= title,= desc,Angular vs React: Which to Choose in 2026?,self,medium,draft,SANITY null + update stale 2024 in title/H1
https://kpinfo.tech/insights/best-web-application-frameworks/,blog-post,informational,best web application frameworks,"web frameworks, app frameworks",12 Best Web Application Frameworks for 2026 | KP Infotech,"The best web application frameworks for 2026 across frontend and backend — strengths, use cases, and how to choose the right stack for your product.",= title,= desc,(keep),self,medium,draft,SANITY null
https://kpinfo.tech/insights/best-hr-software-for-startups/,blog-post,informational,best hr software for startups,"hr software, startup hr tools",12 Best HR Software for Startups in 2026 | KP Infotech,"The best HR software for startups in 2026 — payroll, onboarding, leave, and people management tools compared to help small teams scale without admin overload.",= title,= desc,12 Best HR Software for Startups,self,medium,draft,SANITY null + fix "hr" casing in title/H1
https://kpinfo.tech/insights/minimum-viable-product-examples/,blog-post,informational,minimum viable product examples,"mvp examples, successful mvp",7 Minimum Viable Product (MVP) Examples That Succeeded | KP Infotech,"Seven real minimum viable product examples and what made them work — practical lessons for validating your idea before building the full product.",= title,= desc,(keep),self,medium,draft,SANITY null — link to /services/custom-software-development/ + /industries/startups/
https://kpinfo.tech/insights/mobile-app-monetization-strategies/,blog-post,informational,mobile app monetization strategies,"app monetization, in-app purchases",10 Mobile App Monetization Strategies for 2026 | KP Infotech,"Ten proven mobile app monetization strategies — subscriptions, in-app purchases, ads, and hybrid models — with guidance on choosing the right mix.",= title,= desc,(keep),self,low,draft,SANITY null
