source,destination,href,anchor,location,context,status,canonical
/,/,/,KP Infotech - Home,navigation,a logo relative z-10 transition-opacity duration-300 hover:opacity-80 | nav relative mx-auto flex max-w-[1440px] items-center justify-between px-6 py-6 lg:px-12 | header fixed top-0 left-0 right-0 z-50 transition-all duration-300 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/
/,/services/,/services/,S e r v i c e s,navigation,a nav-link relative py-2 font-body text-sm font-normal tracking-wide transition-colors duration-300 text-text-secondary hover:text-text-primary | li  | ul flex items-center gap-8 | div hidden items-center gap-10 lg:flex | nav relative mx-auto flex max-w-[1440px] items-center justify-between px-6 py-6 lg:px-12 | header fixed top-0 left-0 right-0 z-50 transition-all duration-300 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/services/
/,/industries/,/industries/,I n d u s t r i e s,navigation,a nav-link relative py-2 font-body text-sm font-normal tracking-wide transition-colors duration-300 text-text-secondary hover:text-text-primary | li  | ul flex items-center gap-8 | div hidden items-center gap-10 lg:flex | nav relative mx-auto flex max-w-[1440px] items-center justify-between px-6 py-6 lg:px-12 | header fixed top-0 left-0 right-0 z-50 transition-all duration-300 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/
/,/work/,/work/,W o r k,navigation,a nav-link relative py-2 font-body text-sm font-normal tracking-wide transition-colors duration-300 text-text-secondary hover:text-text-primary | li  | ul flex items-center gap-8 | div hidden items-center gap-10 lg:flex | nav relative mx-auto flex max-w-[1440px] items-center justify-between px-6 py-6 lg:px-12 | header fixed top-0 left-0 right-0 z-50 transition-all duration-300 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/work/
/,/insights/,/insights/,I n s i g h t s,navigation,a nav-link relative py-2 font-body text-sm font-normal tracking-wide transition-colors duration-300 text-text-secondary hover:text-text-primary | li  | ul flex items-center gap-8 | div hidden items-center gap-10 lg:flex | nav relative mx-auto flex max-w-[1440px] items-center justify-between px-6 py-6 lg:px-12 | header fixed top-0 left-0 right-0 z-50 transition-all duration-300 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/insights/
/,/about/,/about/,A b o u t,navigation,a nav-link relative py-2 font-body text-sm font-normal tracking-wide transition-colors duration-300 text-text-secondary hover:text-text-primary | li  | ul flex items-center gap-8 | div hidden items-center gap-10 lg:flex | nav relative mx-auto flex max-w-[1440px] items-center justify-between px-6 py-6 lg:px-12 | header fixed top-0 left-0 right-0 z-50 transition-all duration-300 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/about/
/,/careers/,/careers/,C a r e e r s,navigation,a nav-link relative py-2 font-body text-sm font-normal tracking-wide transition-colors duration-300 text-text-secondary hover:text-text-primary | li  | ul flex items-center gap-8 | div hidden items-center gap-10 lg:flex | nav relative mx-auto flex max-w-[1440px] items-center justify-between px-6 py-6 lg:px-12 | header fixed top-0 left-0 right-0 z-50 transition-all duration-300 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/careers/
/,/contact/,/contact/,Contact,navigation,a contact-btn relative overflow-hidden border border-accent px-6 py-2.5 font-body text-sm font-normal tracking-wide text-accent transition-all duration-300 hover:text-bg-primary | div hidden items-center gap-10 lg:flex | nav relative mx-auto flex max-w-[1440px] items-center justify-between px-6 py-6 lg:px-12 | header fixed top-0 left-0 right-0 z-50 transition-all duration-300 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/contact/
/,/services/,/services/,Services,navigation,a mobile-nav-link block font-body text-3xl font-normal tracking-wide transition-all duration-300 translate-y-8 opacity-0 text-text-secondary hover:text-text-primary | li  | ul flex flex-col gap-6 | nav  | div flex flex-1 flex-col justify-center px-6 py-24 | div fixed inset-0 z-40 flex flex-col bg-bg-primary opacity-0 pointer-events-none transition-opacity duration-300 lg:hidden | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/services/
/,/industries/,/industries/,Industries,navigation,a mobile-nav-link block font-body text-3xl font-normal tracking-wide transition-all duration-300 translate-y-8 opacity-0 text-text-secondary hover:text-text-primary | li  | ul flex flex-col gap-6 | nav  | div flex flex-1 flex-col justify-center px-6 py-24 | div fixed inset-0 z-40 flex flex-col bg-bg-primary opacity-0 pointer-events-none transition-opacity duration-300 lg:hidden | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/
