url,route_source,page_type,title_tag,meta_description_summary,h1_source,canonical,index_status,status_code,schema_present,word_count_est,internal_links_in,internal_links_out,in_sitemap,sanity_doc_id,last_updated,notes
# ─────────────────────────────────────────────────────────────────────────────
# LIVE / INDEXABLE PAGE INVENTORY — kpinfo.tech — 2026-06-26
# index_status: all production pages are indexable (robots Allow:/ ; noindex only injected on non-kpinfo.tech hosts via JS).
# canonical: self-referencing, https, trailing-slash, query/hash stripped (canonicalUrl() in src/lib/seo.ts).
# word_count_est and internal_links are qualitative estimates (no full-content crawl performed).
# ─────────────────────────────────────────────────────────────────────────────
https://kpinfo.tech/,repo:index.astro,home,"Custom Software, ERP, Automation & AI Solutions | KP Infotech",B2B ops partner replacing spreadsheets/manual workflows with custom software/ERP/automation/AI/cloud,Hero headline (Sanity heroHeadline w/ fallback),self,index,200,Organization+WebSite,~600,high (entry),~12 (services/industries/work/CTA),yes,376db61e (siteSettings),live,Strong. Title uses pipe not em-dash (CLAUDE.md pattern uses em-dash).
https://kpinfo.tech/services/,repo:services/index.astro,service-hub,Services — KP Infotech,"OFF-BRAND: lists UI/UX design, web development, mobile apps, ERP, digital marketing (old taxonomy)",Services,self,index,200,BreadcrumbList,~250,high (nav/footer),5+ (service cards),yes,,live,FIX meta description (describes 404'd services). Consider ItemList schema.
https://kpinfo.tech/services/custom-software-development/,repo:services/[slug].astro + Sanity,service,Custom Business Software Development Company — KP Infotech,Custom software for growing teams (internal tools/dashboards/portals/SaaS/integrations),Custom Software Development,self,index,200,Breadcrumb+Service+FAQPage,~900,high,~8,yes,2466d2a2,2026-06-25,Excellent
https://kpinfo.tech/services/business-automation/,repo:services/[slug].astro + Sanity,service,Business Automation Services for Growing Companies — KP Infotech,Workflow automation/integrations/dashboards for spreadsheet+manual teams,Business Automation,self,index,200,Breadcrumb+Service+FAQPage,~900,high,~8,yes,c2a4f544,2026-06-25,Excellent
https://kpinfo.tech/services/erp-software/,repo:services/[slug].astro + Sanity,service,Odoo ERP Implementation & Customization Company — KP Infotech,Odoo ERP implementation/customization/migration/support,ERP & Odoo Solutions,self,index,200,Breadcrumb+Service+FAQPage,~900,high,~8,yes,cb963b5c,2026-06-25,PROTECTED URL. Excellent
