requested_legacy_url,initial_http_status,full_redirect_chain,final_url,final_http_status,final_url_is_200,classification,page_title,worker_redirect_target,redirects_file_target,repo_match,action_bucket,recommended_target,recommendation_notes
https://kpinfo.tech/what-is-customised-software/,404,404 https://kpinfo.tech/what-is-customised-software/,https://kpinfo.tech/what-is-customised-software/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/services/custom-software-development/,Clear custom software service intent; approve exact target before implementation.
https://kpinfo.tech/business-process-automation-tools/,404,404 https://kpinfo.tech/business-process-automation-tools/,https://kpinfo.tech/business-process-automation-tools/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/services/business-automation/,Clear automation service intent; consider recreating article later if GSC shows demand.
https://kpinfo.tech/5-best-modern-website-design-ideas/,404,404 https://kpinfo.tech/5-best-modern-website-design-ideas/,https://kpinfo.tech/5-best-modern-website-design-ideas/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs manual approval,,Design-agency topic is off the current B2B operations positioning.
https://kpinfo.tech/data-visualization-best-practices/,404,404 https://kpinfo.tech/data-visualization-best-practices/,https://kpinfo.tech/data-visualization-best-practices/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs content recreation,,Aligned analytics/operations topic but no close current page exists.
https://kpinfo.tech/business-process-improvement-methods/,404,404 https://kpinfo.tech/business-process-improvement-methods/,https://kpinfo.tech/business-process-improvement-methods/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/services/business-automation/,Process improvement maps to the automation service.
https://kpinfo.tech/best-ecommerce-platform-for-small-business/,404,404 https://kpinfo.tech/best-ecommerce-platform-for-small-business/,https://kpinfo.tech/best-ecommerce-platform-for-small-business/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs content recreation,,Potential retail/ecommerce operations topic; no exact current article exists.
https://kpinfo.tech/about-kp-infotech-expertise/,404,404 https://kpinfo.tech/about-kp-infotech-expertise/,https://kpinfo.tech/about-kp-infotech-expertise/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/about/,Clear about-page replacement.
https://kpinfo.tech/on-premise-vs-cloud-erp/,404,404 https://kpinfo.tech/on-premise-vs-cloud-erp/,https://kpinfo.tech/on-premise-vs-cloud-erp/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/services/erp-software/,ERP/cloud comparison maps to ERP service unless a dedicated guide is recreated.
https://kpinfo.tech/web-design-company/,404,404 https://kpinfo.tech/web-design-company/,https://kpinfo.tech/web-design-company/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs manual approval,,Generic web-design agency intent conflicts with current operations technology positioning.
https://kpinfo.tech/graphics-design/,404,404 https://kpinfo.tech/graphics-design/,https://kpinfo.tech/graphics-design/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs manual approval,,Graphic design is no longer a primary service.
https://kpinfo.tech/how-to-choose-erp-system/,404,404 https://kpinfo.tech/how-to-choose-erp-system/,https://kpinfo.tech/how-to-choose-erp-system/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/insights/odoo-erp-complete-guide/,Closest current ERP guide exists.
https://kpinfo.tech/how-to-choose-the-right-digital-marketing-channels-for-your-business/,404,404 https://kpinfo.tech/how-to-choose-the-right-digital-marketing-channels-for-your-business/,https://kpinfo.tech/how-to-choose-the-right-digital-marketing-channels-for-your-business/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs manual approval,,Digital marketing is outside the current service positioning.
https://kpinfo.tech/how-to-make-a-website-mobile-friendly/,404,404 https://kpinfo.tech/how-to-make-a-website-mobile-friendly/,https://kpinfo.tech/how-to-make-a-website-mobile-friendly/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs manual approval,,"Generic website topic; approve whether to retire, redirect, or recreate."
https://kpinfo.tech/requirements-gathering-techniques/,404,404 https://kpinfo.tech/requirements-gathering-techniques/,https://kpinfo.tech/requirements-gathering-techniques/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/services/custom-software-development/,Discovery/requirements content maps to custom software delivery.
https://kpinfo.tech/architecture-of-a-mobile-app/,404,404 https://kpinfo.tech/architecture-of-a-mobile-app/,https://kpinfo.tech/architecture-of-a-mobile-app/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs content recreation,,Technical app architecture topic has no current equivalent.
https://kpinfo.tech/sample-digital-marketing-strategy/,404,404 https://kpinfo.tech/sample-digital-marketing-strategy/,https://kpinfo.tech/sample-digital-marketing-strategy/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs manual approval,,Digital marketing topic is outside current service positioning.
https://kpinfo.tech/affordable-web-hosting-solutions-for-businesses/,404,404 https://kpinfo.tech/affordable-web-hosting-solutions-for-businesses/,https://kpinfo.tech/affordable-web-hosting-solutions-for-businesses/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs manual approval,,Hosting-price intent is not a current core offer.
https://kpinfo.tech/web-application-security-guide/,404,404 https://kpinfo.tech/web-application-security-guide/,https://kpinfo.tech/web-application-security-guide/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs content recreation,,Useful custom software/cloud trust topic but no close current page exists.
https://kpinfo.tech/analytics-and-data-visualization/,404,404 https://kpinfo.tech/analytics-and-data-visualization/,https://kpinfo.tech/analytics-and-data-visualization/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs content recreation,,Potential operations reporting topic; no current equivalent exists.
https://kpinfo.tech/digital-transformation-roadmap/,404,404 https://kpinfo.tech/digital-transformation-roadmap/,https://kpinfo.tech/digital-transformation-roadmap/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs content recreation,,Aligned transformation topic but should be rebuilt with current positioning.
https://kpinfo.tech/digital-marketing-for-startups/,404,404 https://kpinfo.tech/digital-marketing-for-startups/,https://kpinfo.tech/digital-marketing-for-startups/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs manual approval,,Digital marketing topic is outside current service positioning.
https://kpinfo.tech/website-and-app-development-company/,404,404 https://kpinfo.tech/website-and-app-development-company/,https://kpinfo.tech/website-and-app-development-company/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/services/custom-software-development/,Closest current service page for broad software/web development intent.
https://kpinfo.tech/website-design/,404,404 https://kpinfo.tech/website-design/,https://kpinfo.tech/website-design/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs manual approval,,Generic website design intent needs approval under current positioning.
