document_id,document_type,slug,page_title,current_seoTitle,current_seoDescription,publish_status,last_updated,notes
# ─────────────────────────────────────────────────────────────────────────────
# SANITY SEO FIELD BACKUP — project 5rux0mv2 / dataset production / perspective published
# Captured 2026-06-26 BEFORE any Sanity writes. Schema SEO fields: seoTitle (string), seoDescription (text).
# No openGraph/canonical/noindex fields exist in the schema (OG derived from seoTitle+seoDescription+heroImage in BaseLayout).
# ─────────────────────────────────────────────────────────────────────────────
376db61e-bc91-4f7f-8a3c-a2c3b7ef60b9,siteSettings,(singleton),KP Infotech,KP Infotech — Digital Product Studio,"We craft premium digital experiences for startups and businesses. UI/UX design, web development, mobile apps, and ERP solutions from Ahmedabad to the world.",published,,STALE/OFF-BRAND default — used as global fallback only (homepage overrides). defaultOgImage=null.
2466d2a2-9084-4ae5-b347-291ba5475965,service,custom-software-development,Custom Software Development,Custom Business Software Development Company — KP Infotech,"Custom business software development for growing teams that need internal tools, dashboards, portals, SaaS MVPs, workflow systems, and integrations to reduce manual work and improve operational visibility.",published,2026-06-25,GOOD — keep
c2a4f544-4355-4d9b-b7f3-782259fd26e2,service,business-automation,Business Automation,Business Automation Services for Growing Companies — KP Infotech,"Business automation services for teams using spreadsheets, manual approvals, disconnected tools, and repetitive admin workflows. KP Infotech builds workflow automation, integrations, dashboards, and operational systems.",published,2026-06-25,GOOD — keep
cb963b5c-1e52-4e05-95cf-a279e6e1dcb7,service,erp-software,ERP & Odoo Solutions,Odoo ERP Implementation & Customization Company — KP Infotech,"Odoo ERP implementation, customization, migration, and support for growing businesses. KP Infotech connects CRM, sales, purchase, inventory, accounting, manufacturing, HR, and operations in one ERP system.",published,2026-06-25,GOOD — keep (protected URL)
414efdd8-f4ce-4d84-bdaa-a28b7b4fa652,service,ai-automation-agents,AI Automation & Agents,AI Agent Development & Automation for Business Operations — KP Infotech,"AI agent development and AI automation for business operations. KP Infotech builds document processing agents, internal AI assistants, workflow automations, support agents, and reporting agents with practical guardrails.",published,2026-06-25,GOOD — keep
eb52ce75-c590-42ea-9cad-00708b98fe90,service,cloud-devops,Cloud & DevOps,Cloud & DevOps Services for Scalable Business Systems — KP Infotech,"Cloud and DevOps services for reliable deployments, scalable infrastructure, CI/CD pipelines, monitoring, backups, cloud hosting, security controls, and cost optimization for growing business systems.",published,2026-06-25,GOOD — keep
17978c9d-b513-4597-9d8c-4360c05f925a,industry,healthcare,Healthcare,(null),(null),published,2026-02-10,MISSING SEO — falls back to "Healthcare — KP Infotech"
99901f6b-55bb-4d05-9bb4-53fbdcd0e92e,industry,retail-ecommerce,Retail & E-commerce,(null),(null),published,2026-02-10,MISSING SEO
49adddf8-8b71-409e-af3c-09871f25696a,industry,manufacturing,Manufacturing,(null),(null),published,2026-02-10,MISSING SEO
11cb3700-a502-496e-9ccd-163fc7c5439d,industry,logistics,Logistics & Supply Chain,(null),(null),published,2026-02-10,MISSING SEO
5807cc3f-6fa8-4352-b644-b61820dad506,industry,finance,Finance,(null),(null),published,2026-02-10,MISSING SEO
8df4b488-255f-42de-bf15-fef756dbc300,industry,startups,Startups & SMEs,(null),(null),published,2026-02-10,MISSING SEO
3250b94d-c394-461e-a8b8-61307d9eaf18,industry,real-estate,Real Estate,(null),(null),published,2026-02-10,MISSING SEO (note: not in CLAUDE.md 6-industry list but live + in sitemap)
d290902d-4d69-4914-9d20-7906d6bbfb82,industry,education,Education,(null),(null),published,2026-02-10,MISSING SEO (note: not in CLAUDE.md 6-industry list but live + in sitemap)
347935a0-e177-4e34-b3f9-d413e1a0b3ed,caseStudy,collaboration-platform-distributed-teams,Real-Time Collaboration Platform for Distributed Teams,Collaboration Platform Case Study — KP Infotech,"How we built a real-time collaboration platform for distributed teams, achieving 25K teams, $3.2M ARR, 98% DAU, and $12M Series A funding.",published,2026-04-13,GOOD — keep
3a61f3da-04fa-4f09-95ec-62cb54403e24,caseStudy,omnichannel-ecommerce-platform,Omnichannel E-Commerce Platform with AI-Powered Personalization,Omnichannel E-Commerce Platform Case Study — KP Infotech,"How we built an AI-powered omnichannel e-commerce platform that grew online revenue by 340% to $45M and achieved 28% conversion rate for a fashion retailer.",published,2026-04-13,GOOD — keep
a2255729-fe51-45d5-b190-914ba7f86ea2,caseStudy,digital-banking-platform,Modern Digital Banking Platform for Regional Credit Union,Digital Banking Platform Case Study — KP Infotech,"How we built a modern digital banking platform that increased mobile adoption by 186%, achieved 92% satisfaction, and saved $12M for a regional credit union.",published,2026-04-13,GOOD — keep
e907e1d9-f6be-4f56-a048-276e29d2d3fc,caseStudy,virtual-tours-ai-listings,3D Virtual Tours & AI Property Listing Platform,Virtual Tour Platform Case Study — KP Infotech,"3D virtual tour platform generating 85K leads, 420% views, $180M sales, 34% conversion.",published,2026-04-13,seoDescription thin (53 chars) — could expand
15c6587c-de22-4015-b264-6ceae08c47d6,blogPost,kp-infotech-new-website-custom-software-automation-ai,The Next Chapter of KP Infotech,"KP Infotech's Next Chapter: Custom Software, ERP, Automation & AI","KP Infotech's new website reflects a sharper focus on custom software, Odoo ERP, business automation, AI agents, and cloud infrastructure for growing businesses.",published,2026-06-25,GOOD — keep (launch post)
3011f67f-8bba-43b3-b60d-8896384d64a0,blogPost,cloud-deployment-models-diagram,Cloud Deployment Models Diagram Explained,(null),(null),published,2026-06-25,MISSING SEO — PROTECTED (ranks "public/private cloud diagram" vol 880/720)
